,Model,Injury.Severity,Number.of.Engines
52396,Aeros Ltd Skyranger,Non-Fatal,1.0
52413,T182,Fatal(2),1.0
52420,Varieze,Non-Fatal,1.0
52428,MU-2B-35,Fatal(2),2.0
52429,A319-114,Non-Fatal,2.0
52432,FEW TF-51,Non-Fatal,1.0
52437,Zodiac 601HD,Non-Fatal,1.0
52440,Cruiser TR-4,Fatal(1),1.0
52445,AIRCAM,Non-Fatal,2.0
52453,Osprey II,Non-Fatal,1.0
52458,"Taylor ""Coot""",Fatal(1),1.0
52459,767-224,Non-Fatal,2.0
52472,SR-22,Fatal(2),1.0
52485,Buccaneer 2,Fatal(1),1.0
52486,BE-35,Fatal(2),1.0
52501,Tierra II,Fatal(1),1.0
52507,400A,Non-Fatal,2.0
52514,DO-328-300,Incident,2.0
52521,A75SN1,Non-Fatal,1.0
52524,D-260,Non-Fatal,1.0
52528,HA-200-Saeta,Fatal(1),2.0
52533,737-500,Fatal(14),2.0
52535,152M,Non-Fatal,1.0
52539,B737-448,Incident,2.0
52544,Skyraider 1,Fatal(1),1.0
52558,Pitts S-1C,Non-Fatal,1.0
52562,757-33N,Non-Fatal,2.0
52564,Firefly 7B-15,Non-Fatal,0.0
52565,Coot A,Non-Fatal,1.0
52568,Challenger II,Non-Fatal,1.0
52574,350B,Non-Fatal,1.0
52579,CA 7SL,Fatal(1),1.0
52589,Lancair Super ES,Fatal(2),1.0
52592,LL-8-E,Fatal(2),1.0
52607,Tornado,Non-Fatal,1.0
52608,K-600 (HH-43B),Incident,1.0
52609,T-Bird,Non-Fatal,1.0
52616,Murphy SR3500,Non-Fatal,1.0
52622,328-300,Incident,2.0
52623,G120A,Fatal(1),1.0
52624,R22 Beta,Fatal(2),1.0
52625,R-22 Mariner,Fatal(2),1.0
52632,Ms. Ryan Special,Fatal(1),1.0
52633,172C,Fatal(3),1.0
52645,75% Scale Fokker D8,Non-Fatal,1.0
52650,RANS S6ES,Non-Fatal,1.0
52651,J-3F-65,Non-Fatal,1.0
52654,Barnet J4B-2,Non-Fatal,1.0
52669,SR-20,Fatal(1),1.0
52687,ERCO-415-E,Non-Fatal,1.0
52690,Team Z Max,Non-Fatal,1.0
52691,MD-11F,Incident,3.0
52694,Comp Air 7SL,Non-Fatal,1.0
52717,BE-100-A100,Non-Fatal,2.0
52750,M-7-260C,Non-Fatal,1.0
52752,Revolution Mini 500,Non-Fatal,1.0
52754,Celebrity,Fatal(2),1.0
52756,Quicksilver MX II,Fatal(1),1.0
52757,Nieuport 11,Non-Fatal,1.0
52771,A300-600F,Non-Fatal,2.0
52776,Piel Emeraude,Fatal(1),1.0
52786,Pietenpol Air Camper,Fatal(1),1.0
52787,Twinstar,Non-Fatal,1.0
52804,CA65 Sky Fly,Non-Fatal,1.0
52808,Kit Fox 4-1200,Non-Fatal,1.0
52811,ASK21,Non-Fatal,0.0
52818,Rutan Vari Viggen,Fatal(1),1.0
52832,Wagabond traveler,Non-Fatal,1.0
52833,YAK 52,Fatal(1),1.0
52846,A-28 Victor,Non-Fatal,2.0
52847,Kitfox Classic IV,Non-Fatal,1.0
52849,BN-2B-26,Non-Fatal,2.0
52854,Dragon Fly,Fatal(2),1.0
52860,Nav4,Non-Fatal,1.0
52863,AS-350-B2,Fatal(3),1.0
52868,GLASAIR II-SRG,Non-Fatal,1.0
52869,BE-300,Non-Fatal,2.0
52874,PW-5,Non-Fatal,0.0
52876,Pulsar,Non-Fatal,1.0
52879,Wittman Tailwind W-8,Fatal(1),1.0
52890,S-55-QT,Non-Fatal,1.0
52893,S-2R Thrush,Non-Fatal,1.0
52899,JN-4D,Fatal(1),1.0
52907,BE90,Non-Fatal,2.0
52909,Velocity Elite,Non-Fatal,1.0
52911,Helipower 2500,Non-Fatal,1.0
52912,206BIII,Fatal(2),1.0
52913,Powered Parachute,Non-Fatal,1.0
52914,Comp Air 6,Non-Fatal,1.0
52924,Glastar GS-1,Non-Fatal,1.0
52936,V-35A,Fatal(3),1.0
52949,182 E,Non-Fatal,1.0
52952,CE-182-A,Non-Fatal,1.0
52960,KitFox,Fatal(1),1.0
52962,Outback,Fatal(2),1.0
52964,Pulsar XP,Non-Fatal,1.0
52967,Volksplane VP-2,Non-Fatal,1.0
52969,Loehle 5151 Mustang,Non-Fatal,1.0
52973,Kitfox Model III,Non-Fatal,1.0
52974,A-23-23,Non-Fatal,1.0
52975,Super Cuby,Fatal(2),1.0
52976,310I,Fatal(4),2.0
52978,AX8-88,Non-Fatal,0.0
52979,Mustang M-11,Non-Fatal,1.0
52980,LS8-18,Fatal(1),0.0
52984,Productmatch 80 P51D,Non-Fatal,1.0
52986,DA 20C-1,Fatal(1),1.0
52990,SNS-7-Hiperbipe 3,Non-Fatal,1.0
52993,P,Non-Fatal,1.0
52999,AS350 BA,Non-Fatal,1.0
53007,Rotorway 162-F,Non-Fatal,1.0
53009,Phase II,Non-Fatal,1.0
53011,PA-J3-C65,Non-Fatal,1.0
53012,Fokker DR1,Non-Fatal,1.0
53017,S-58ET,Fatal(1),1.0
53021,HU-269-A,Non-Fatal,1.0
53023,Moni,Non-Fatal,1.0
53025,Zodiac CH-601-H,Non-Fatal,1.0
53031,Avid Aerobat,Non-Fatal,1.0
53037,Callair A-9B,Non-Fatal,1.0
53042,SE-1,Fatal(1),1.0
53056,ASW-27,Non-Fatal,0.0
53058,PA-11S,Non-Fatal,1.0
53064,Doug 2000,Fatal(2),1.0
53065,KitFox IV,Non-Fatal,1.0
53068,Yak 52,Non-Fatal,1.0
53073,172S,Fatal(3),1.0
53080,AT-6A,Fatal(1),1.0
53081,P4Y-2,Fatal(2),4.0
53088,Sonerai II Lts,Non-Fatal,1.0
53094,OTW-145,Non-Fatal,1.0
53098,Glassair II RG,Fatal(1),1.0
53099,PA-32RT-300,Fatal(5),1.0
53102,Nimbus-2C,Non-Fatal,0.0
53106,E-90,Fatal(2),2.0
53109,C180A,Non-Fatal,1.0
53111,C3-R,Non-Fatal,1.0
53121,E-3,Fatal(1),1.0
53135,172S,Non-Fatal,2.0
53140,S-35,Fatal(1),1.0
53145,7 Deluxe,Non-Fatal,1.0
53150,CK,Non-Fatal,1.0
53153,Rotor Horse,Non-Fatal,1.0
53168,New Standard D-25,Non-Fatal,1.0
53175,A-36,Non-Fatal,2.0
53178,Pitts S1D,Non-Fatal,1.0
53185,Air Cam,Non-Fatal,2.0
53197,PA22-135,Non-Fatal,1.0
53198,58TC,Fatal(2),2.0
53204,Widebody Long EZ,Fatal(1),1.0
53207,EAA Bi-Plane May Bee,Non-Fatal,1.0
53212,T-Bird II,Non-Fatal,1.0
53239,Acro Sport I,Non-Fatal,1.0
53247,GlaStar,Non-Fatal,1.0
53248,M20A,Fatal(4),1.0
53260,Spacewalker II,Non-Fatal,1.0
53265,WACO T-10,Non-Fatal,1.0
53272,Glassair II,Non-Fatal,1.0
53275,747-256,Non-Fatal,4.0
53277,690A,Fatal(4),2.0
53284,Champion II,Non-Fatal,1.0
53309,S-1B2,Fatal(1),1.0
53310,SNS-8,Non-Fatal,1.0
53313,YPF-7,Non-Fatal,1.0
53314,E75L300,Non-Fatal,1.0
53317,172S,Fatal(2),1.0
53318,C-1A,Non-Fatal,2.0
53321,Vans RV6A,Fatal(2),1.0
53333,Rutan/Defiant,Non-Fatal,1.0
53335,MU-2B-60,Incident,2.0
53337,BE-55,Fatal(1),2.0
53338,S2R Thrush,Non-Fatal,1.0
53341,Vans RV-6,Non-Fatal,1.0
53348,Genesis 2,Non-Fatal,0.0
53364,Kitfox Series 5,Non-Fatal,1.0
53372,MBB BK-117 A4,Incident,2.0
53373,FireFly 7B-15,Non-Fatal,0.0
53382,A320-231,Non-Fatal,2.0
53384,R-44,Fatal(2),1.0
53385,DHC-2 MK3,Fatal(1),1.0
53391,S-55T,Non-Fatal,1.0
53395,Experimental,Non-Fatal,1.0
53397,25C,Fatal(1),2.0
53399,206L-III,Non-Fatal,1.0
53402,S76A+,Non-Fatal,2.0
53406,182-Q,Non-Fatal,1.0
53425,58P,Fatal(7),2.0
53431,Questair Venture,Fatal(1),1.0
53439,Vans RV-9A,Non-Fatal,1.0
53446,Glasair,Fatal(1),1.0
53447,Glassair,Non-Fatal,1.0
53449,Sonerai 2L,Non-Fatal,1.0
53452,Velocity XL-RG,Non-Fatal,1.0
53455,Seawind 3000,Non-Fatal,1.0
53456,Mini-500,Fatal(1),1.0
53460,PA-30-30,Non-Fatal,2.0
53461,Ventus-B,Fatal(1),0.0
53462,222U,Fatal(3),2.0
53468,PA 32R-301T,Fatal(2),1.0
53472,757-251,Non-Fatal,2.0
53486,Sky Scout,Non-Fatal,1.0
53489,Rotorway Exec 162 F,Non-Fatal,1.0
53492,737-823,Incident,2.0
53493,Venture M20,Fatal(1),1.0
53494,OH-58AT,Fatal(1),1.0
53500,PC-12/45,Fatal(2),1.0
53501,Air Command 503,Non-Fatal,1.0
53516,Aerostar 601P,Non-Fatal,2.0
53524,M-20E,Fatal(3),1.0
53527,Mig-15,Fatal(1),1.0
53533,Hornet,Non-Fatal,1.0
53536,SZD-42-2 JANTAR,Fatal(1),0.0
53541,B-206 Series 2,Fatal(1),2.0
53544,Rans S-12XL,Fatal(2),1.0
53549,Rans S-12,Fatal(1),1.0
53556,Thorpe T-18,Non-Fatal,1.0
53562,S-2C,Fatal(2),1.0
53565,Kolb MK III,Non-Fatal,1.0
53575,Nieuport,Non-Fatal,1.0
53581,AS350-B3,Non-Fatal,1.0
53599,Kitfox,Non-Fatal,1.0
53600,B.206 Basset,Fatal(1),2.0
53604,Aerostar 602P,Fatal(1),2.0
53609,Travel Air 4000,Non-Fatal,1.0
53613,Velocity SR6E,Fatal(1),1.0
53615,L1019,Non-Fatal,1.0
53619,KSE5A,Non-Fatal,1.0
53621,Rotorway Exec-162F,Non-Fatal,1.0
53627,S-12 XL,Non-Fatal,1.0
53630,EAA-Biplane-P,Non-Fatal,1.0
53633,747-400,Incident,4.0
53638,Early Bird Jenny,Non-Fatal,1.0
53642,Vari-Eze,Non-Fatal,1.0
53666,PC-12/45,Non-Fatal,1.0
53674,PA-28-236,Incident,1.0
53676,Rans S-10 Sakota,Fatal(1),1.0
53678,RW-152 Scorpion II,Non-Fatal,1.0
53679,Rutan/Defiant,Non-Fatal,2.0
53680,DA20-C1,Non-Fatal,1.0
53687,Aerostar 601,Fatal(3),2.0
53695,A-60,Incident,2.0
53701,RV-8,Incident,1.0
53714,King Air 100,Fatal(8),2.0
53718,Vans RV-4,Non-Fatal,1.0
53723,StddHmltn GlasairIIS,Non-Fatal,1.0
53728,CW-46,Non-Fatal,2.0
53744,Kolb Fire Star II,Non-Fatal,1.0
53748,T182T,Non-Fatal,1.0
53750,Barnett J4B,Non-Fatal,1.0
53761,IV-P,Fatal(1),1.0
53771,A109E,Non-Fatal,2.0
53774,Gazelle AH-MK1,Fatal(1),1.0
53775,1124A,Fatal(2),2.0
53776,208B,Fatal(4),1.0
53789,F4U-4,Fatal(1),1.0
53807,M10,Fatal(2),1.0
53812,PA-32RT-300T,Non-Fatal,2.0
53823,Express,Fatal(3),1.0
53827,T210 L,Non-Fatal,1.0
53832,A319-131,Incident,2.0
53854,Team 1400Z,Non-Fatal,1.0
53865,A320-211,Non-Fatal,2.0
53870,Seawind,Fatal(2),1.0
53879,AS-350BA,Non-Fatal,1.0
53883,36A,Non-Fatal,2.0
53894,192,Fatal(2),1.0
53896,OH-6,Incident,1.0
53912,PA-601P,Incident,2.0
53924,DH-125,Non-Fatal,2.0
53928,EC-135 P1,Non-Fatal,2.0
53929,330-301,Incident,2.0
53936,A-1B,Fatal(1),1.0
53942,Team Rocket F-1,Fatal(1),1.0
53949,Ultra pup,Non-Fatal,1.0
53965,Lancair 235,Fatal(1),1.0
53968,Glasair,Fatal(2),1.0
53969,F-35,Fatal(1),1.0
53974,TB 9,Non-Fatal,1.0
53982,Commander Elite,Fatal(1),1.0
53984,OH-6,Non-Fatal,1.0
53994,DA5-A,Non-Fatal,1.0
53998,HS-125-700A,Incident,2.0
54001,ERJ-145LR,Non-Fatal,2.0
54002,Rans S-12XL,Fatal(1),1.0
54005,DHC-8-401,Non-Fatal,2.0
54015,1900D,Fatal(21),2.0
54016,YAK-3 UR-2000,Non-Fatal,1.0
54023,Bluegrass Express,Fatal(1),1.0
54025,Atlantica 235FG,Non-Fatal,1.0
54026,A-109-K2,Fatal(2),2.0
54028,F6F-5,Fatal(2),1.0
54030,Husky,Non-Fatal,1.0
54032,717-200,Incident,2.0
54037,S-61A,Non-Fatal,2.0
54047,MD-11-C,Incident,3.0
54050,Falcon 900EX,Non-Fatal,3.0
54053,737-83N,Incident,2.0
54055,ME-262 Reproduction,Non-Fatal,2.0
54079,SR 20,Fatal(1),1.0
54083,2000,Fatal(1),1.0
54085,Twinjet 1500,Fatal(1),2.0
54098,M337B (O-2A),Fatal(4),2.0
54100,Cozy Mark IV,Non-Fatal,1.0
54106,A109C,Fatal(1),2.0
54115,EA300/L,Fatal(2),1.0
54118,180 B,Non-Fatal,1.0
54121,Zodiac CH601HDS,Non-Fatal,1.0
54133,BD 100-1A10,Incident,2.0
54139,AS-350BII,Non-Fatal,1.0
54141,ATR72-212,Non-Fatal,2.0
54151,BE-G35,Non-Fatal,1.0
54152,Rans S-9,Non-Fatal,1.0
54170,CRJ-600,Incident,2.0
54172,S-71A,Non-Fatal,0.0
54181,407,Fatal(2),1.0
54195,AS-350-B3,Non-Fatal,1.0
54196,Lake 250,Fatal(1),1.0
54202,RX-7,Non-Fatal,1.0
54209,KIS TRI-R TR-1,Fatal(2),1.0
54213,11B,Fatal(1),0.0
54221,36,Fatal(1),1.0
54222,CH-801,Fatal(2),1.0
54229,TBM 700,Fatal(3),1.0
54233,BE-36A,Fatal(5),1.0
54234,180 A,Non-Fatal,1.0
54258,PA-46-500TP,Fatal(3),1.0
54262,Firestar,Non-Fatal,1.0
54270,F.27MK 500,Non-Fatal,2.0
54271,UKS-7,Non-Fatal,1.0
54279,DISCUS-2B,Non-Fatal,0.0
54280,3NM,Fatal(3),2.0
54297,PA24,Non-Fatal,1.0
54302,320D,Fatal(1),2.0
54303,501,Fatal(3),2.0
54307,430,Non-Fatal,2.0
54314,Aeronca 7BCM,Fatal(1),1.0
54315,PAN,Non-Fatal,1.0
54323,M20R,Fatal(1),1.0
54331,Great Lakes 2T-1A,Non-Fatal,1.0
54332,SP-95,Fatal(1),1.0
54337,Navion,Non-Fatal,1.0
54339,FA150K,Non-Fatal,1.0
54345,STOL King,Non-Fatal,1.0
54361,BHT-47-G3B2A,Non-Fatal,1.0
54362,CH-7A,Non-Fatal,1.0
54370,F280FX,Non-Fatal,1.0
54374,Pool Jungster I,Non-Fatal,1.0
54391,Pegazai,Non-Fatal,1.0
54399,R-44 II,Non-Fatal,1.0
54402,99,Non-Fatal,1.0
54403,YOC,Non-Fatal,1.0
54407,B200,Fatal(6),2.0
54418,A319-111,Non-Fatal,2.0
54421,737-924,Non-Fatal,2.0
54423,TU206 G,Non-Fatal,1.0
54425,MCR-01 VLA,Non-Fatal,1.0
54426,BD,Non-Fatal,1.0
54434,Prototype,Non-Fatal,1.0
54435,DA-20,Fatal(3),2.0
54436,AT- 401,Non-Fatal,1.0
54437,502,Fatal(1),1.0
54439,DA-20C,Non-Fatal,2.0
54442,T207 A,Fatal(2),1.0
54448,A300F4-605R,Incident,2.0
54454,Travel Air C-4000,Non-Fatal,1.0
54459,AC-5M,Non-Fatal,1.0
54472,Minimax 1500R,Non-Fatal,1.0
54477,Northstar,Non-Fatal,1.0
54484,F27MK 600,Non-Fatal,2.0
54485,320D,Fatal(2),2.0
54489,PA-31T1,Incident,2.0
54490,AS355N,Non-Fatal,2.0
54500,S-12,Fatal(1),1.0
54505,Ragwing RW8-PT2S,Non-Fatal,1.0
54508,Starflight Stiletto,Non-Fatal,1.0
54514,Vans RV-6A,Non-Fatal,1.0
54525,TBM 700B,Fatal(1),1.0
54526,328-300,Non-Fatal,2.0
54542,Lancair IV,Non-Fatal,1.0
54543,SJ30-2,Fatal(1),2.0
54545,Rans S-7,Fatal(1),1.0
54547,B4-PC11AF,Non-Fatal,0.0
54556,Quickie Q-200,Fatal(1),1.0
54558,177-RG,Non-Fatal,1.0
54559,AR-58-058B,Non-Fatal,1.0
54575,Unkown,Non-Fatal,1.0
54580,AT-503A,Fatal(2),1.0
54587,B767-300,Non-Fatal,2.0
54598,A-4N,Fatal(1),1.0
54599,Moni-Motorglider 032,Non-Fatal,1.0
54601,24R,Fatal(3),1.0
54621,Rans S9,Non-Fatal,1.0
54628,320-D,Non-Fatal,2.0
54631,100-160,Non-Fatal,1.0
54636,Lancair IV,Fatal(4),1.0
54641,AS355F2,Non-Fatal,2.0
54643,Glasair,Non-Fatal,1.0
54650,Wright Model B,Non-Fatal,1.0
54652,330,Fatal(1),1.0
54666,DA-50,Non-Fatal,3.0
54675,BE360,Non-Fatal,1.0
54682,Libelle 201B,Non-Fatal,0.0
54683,T28C,Fatal(2),1.0
54691,D75-N1,Non-Fatal,1.0
54693,SZD-50-3,Non-Fatal,0.0
54702,Rebel,Non-Fatal,1.0
54704,415E,Non-Fatal,1.0
54723,L-39,Fatal(1),1.0
54724,Cozy,Non-Fatal,1.0
54727,95 C-55,Non-Fatal,2.0
54731,Pitts S-2A,Non-Fatal,1.0
54736,Quickie,Non-Fatal,1.0
54737,Glasair SH-2,Fatal(1),1.0
54748,EMB-120ER,Non-Fatal,2.0
54755,R-22 Beta,Fatal(2),1.0
54759,Avro-504K,Non-Fatal,1.0
54761,S-14,Fatal(1),1.0
54765,A320-321,Non-Fatal,2.0
54766,Zenith Air CH 701,Non-Fatal,1.0
54782,A109K2,Fatal(1),2.0
54786,A-1A,Fatal(1),1.0
54793,EXEC90,Non-Fatal,1.0
54803,Aero-Commander 112TC,Fatal(1),1.0
54812,A13-SWB,Fatal(2),1.0
54814,CA-7,Fatal(1),1.0
54830,AS 350 B2,Non-Fatal,1.0
54832,PA-46-500TP,Non-Fatal,1.0
54837,Centaur L-13,Non-Fatal,1.0
54838,Mini 500,Non-Fatal,1.0
54839,47-G4,Fatal(1),1.0
54844,601HDS,Non-Fatal,1.0
54859,369D,Fatal(4),1.0
54867,Zodiac CH 601 HDS,Non-Fatal,1.0
54883,EMB-145LR,Non-Fatal,2.0
54891,ASW-27B,Fatal(1),0.0
54893,RV-8,Fatal(1),1.0
54899,Saratoga II TC PA32-,Non-Fatal,1.0
54900,ASW28,Non-Fatal,0.0
54903,RX 8,Non-Fatal,0.0
54908,RAF2000,Non-Fatal,1.0
54912,ARE,Non-Fatal,1.0
54916,CRJ-100,Fatal(1),2.0
54918,Be-35-33,Non-Fatal,1.0
54919,Trainer,Non-Fatal,1.0
54920,LG2H,Non-Fatal,1.0
54924,EMB-135-KL,Non-Fatal,2.0
54926,Vans RV-6A,Fatal(1),1.0
54930,Marquart ChargerMA-5,Non-Fatal,1.0
54934,R-22 Beta,Fatal(1),1.0
54935,R44 II,Fatal(3),1.0
54936,EC120B,Fatal(1),1.0
54938,Hornet,Fatal(1),1.0
54939,402A,Non-Fatal,1.0
54942,Glasair JM-1,Non-Fatal,1.0
54944,Kitfox 2,Non-Fatal,1.0
54966,Vans RV-6A,Fatal(2),1.0
54967,Starduster Too,Fatal(1),1.0
54973,Fly Baby,Non-Fatal,1.0
54981,L39C,Fatal(1),1.0
54994,Dragonfly Mark II,Non-Fatal,1.0
55002,Bowers Fly Baby 1A,Fatal(1),1.0
55005,402-2,Non-Fatal,1.0
55010,A24-R,Fatal(3),1.0
55019,DPS,Non-Fatal,1.0
55022,F-35,Fatal(2),1.0
55025,Rans S-7 Courer,Non-Fatal,1.0
55026,Sea Rey,Fatal(2),1.0
55027,102,Non-Fatal,1.0
55030,47 G5,Non-Fatal,1.0
55037,402 B,Non-Fatal,2.0
55038,Falco F.8L,Non-Fatal,1.0
55048,EC120B,Non-Fatal,1.0
55049,Wilga 104-80,Non-Fatal,1.0
55064,Zenair STOL 701,Non-Fatal,1.0
55066,2.111,Fatal(2),2.0
55068,S-18T,Non-Fatal,1.0
55073,162F,Incident,1.0
55085,Pitts S1S,Non-Fatal,1.0
55088,401,Fatal(4),2.0
55096,DA20-C1 Katana,Non-Fatal,1.0
55098,S1E,Non-Fatal,1.0
55101,MIG-15BIS,Non-Fatal,1.0
55105,Buccaneer II,Non-Fatal,1.0
55108,Swick BC 12-D,Fatal(1),1.0
55117,B777-222,Non-Fatal,2.0
55129,S-10 Sakota/A,Non-Fatal,1.0
55142,R22-Beta,Non-Fatal,1.0
55144,Sonerai IIB,Fatal(1),1.0
55146,Quickie Q2,Fatal(1),1.0
55151,L-17A,Non-Fatal,1.0
55156,Citation 525,Non-Fatal,2.0
55160,R22 Beta,Fatal(1),1.0
55161,T Mk 7A,Fatal(1),1.0
55171,Glasair-TD,Non-Fatal,1.0
55173,Rotec Rally 3,Non-Fatal,1.0
55178,CH2T,Non-Fatal,1.0
55184,K-1200,Fatal(1),1.0
55188,235,Non-Fatal,1.0
55194,Auriga FT,Fatal(1),1.0
55196,ASW-24E,Fatal(1),1.0
55197,Delta Wing Kite Trik,Fatal(1),1.0
55207,BHT-206-B3,Non-Fatal,1.0
55208,OH-13E-M74,Non-Fatal,1.0
55210,AT401B,Non-Fatal,1.0
55215,Hummel Bird,Fatal(1),1.0
55232,Skyraider II,Non-Fatal,1.0
55234,Teratorn,Fatal(1),1.0
55242,Hughes 1-B,Fatal(1),1.0
55254,A340-300,Non-Fatal,4.0
55263,DC-9-81,Non-Fatal,2.0
55270,V35-B,Fatal(3),1.0
55277,35J,Non-Fatal,1.0
55282,Antares MA-33,Non-Fatal,1.0
55302,Volksplane VP-1,Non-Fatal,1.0
55303,Magnum,Fatal(1),1.0
55308,BE-36TC,Non-Fatal,1.0
55310,L-13 Blanik,Non-Fatal,0.0
55312,737-800,Non-Fatal,2.0
55313,Pulsar,Fatal(2),1.0
55318,406,Fatal(2),2.0
55321,PT-17 Stearman,Fatal(2),1.0
55322,A-2 (Aircoupe),Fatal(2),1.0
55325,MONI-1,Non-Fatal,1.0
55327,A340-300,Incident,4.0
55336,S2R-G6,Fatal(1),1.0
55337,S2R-T660,Non-Fatal,1.0
55339,230,Incident,2.0
55342,Robinson R22 Beta,Non-Fatal,1.0
55358,S-1000,Non-Fatal,1.0
55359,Cozy MkIV,Non-Fatal,1.0
55361,Sportsmen,Non-Fatal,1.0
55366,Hiperbipe,Non-Fatal,1.0
55368,RG,Non-Fatal,1.0
55370,EA200,Non-Fatal,1.0
55383,L-39ZO,Fatal(1),1.0
55396,1900D,Fatal(2),2.0
55398,LC41,Non-Fatal,1.0
55400,Flying Boat,Fatal(1),1.0
55422,C-170,Non-Fatal,1.0
55433,B36TC,Fatal(3),1.0
55438,Dornier 328-300,Non-Fatal,2.0
55439,Questair #20 Venture,Fatal(2),1.0
55440,T206H,Fatal(3),1.0
55446,F.28 Mk 0100,Non-Fatal,2.0
55450,Zodiac 601 XL,Non-Fatal,1.0
55451,BN-2A-27,Non-Fatal,2.0
55458,Glasair II,Non-Fatal,1.0
55474,11BC,Fatal(1),1.0
55497,DC-9-51,Fatal(1),2.0
55502,Pitts S-2C,Non-Fatal,1.0
55518,Smith Miniplane DSA1,Fatal(1),1.0
55519,310J,Fatal(2),2.0
55532,Corben Baby Ace D,Non-Fatal,1.0
55538,Capella Classic,Non-Fatal,1.0
55540,Standard Cirrus,Fatal(1),0.0
55542,Lancair Legacy,Non-Fatal,1.0
55543,25B,Fatal(1),2.0
55549,AS350BA,Fatal(7),1.0
55550,HS-125-700A,Fatal(3),2.0
55569,Titan Tornado I,Non-Fatal,1.0
55571,BL-7-AC,Non-Fatal,1.0
55579,HU-16C,Fatal(2),2.0
55580,180 H,Non-Fatal,1.0
55581,EMB-135,Non-Fatal,2.0
55586,Freebird,Non-Fatal,1.0
55588,PA-18-180,Fatal(2),1.0
55589,182T,Fatal(2),1.0
55590,Stits Playmate SA-11,Fatal(2),1.0
55592,T-34 (A-45),Non-Fatal,1.0
55594,FIREFLY II,Non-Fatal,0.0
55615,Swearingen SX300,Non-Fatal,1.0
55618,T6G,Incident,1.0
55623,Mustang II,Fatal(1),1.0
55624,P2V,Fatal(2),4.0
55629,Cuby Acro Trainer,Non-Fatal,1.0
55632,J-3 -C65,Non-Fatal,1.0
55633,War F4V,Non-Fatal,1.0
55642,LA250,Non-Fatal,1.0
55646,777-281,Non-Fatal,2.0
55647,777-22B,Non-Fatal,2.0
55653,Edge-540,Fatal(1),1.0
55661,XL,Non-Fatal,1.0
55668,Pitts S-2B,Fatal(1),1.0
55671,Pitts S2B,Non-Fatal,1.0
55681,42,Non-Fatal,1.0
55682,EA-300L,Fatal(1),1.0
55684,Velox Revolution II,Non-Fatal,1.0
55685,VP 1,Non-Fatal,1.0
55687,Starduster II SA-300,Non-Fatal,1.0
55688,RV-7A,Non-Fatal,1.0
55696,1903 WRIGHT FLYER,Non-Fatal,1.0
55698,YAK55M,Non-Fatal,1.0
55706,900,Non-Fatal,2.0
55712,Zenith CH 701,Non-Fatal,1.0
55717,A-319-112,Non-Fatal,2.0
55722,M-18-X,Non-Fatal,1.0
55732,35-C33,Fatal(2),1.0
55733,S-10,Fatal(1),1.0
55734,BRC 540C,Non-Fatal,1.0
55737,Lancair 360,Fatal(1),1.0
55739,Emeraude CP301A,Fatal(1),1.0
55743,DA 20-C1,Non-Fatal,1.0
55744,47G-2A-1,Fatal(2),1.0
55748,45,Incident,2.0
55749,F-28C,Incident,1.0
55752,Z37A,Non-Fatal,1.0
55762,PA-32RT-300T,Incident,1.0
55793,SA227BC,Non-Fatal,2.0
55803,16B,Fatal(2),1.0
55805,T33,Fatal(1),1.0
55808,AS350 B3,Non-Fatal,1.0
55816,Nieuport 12,Non-Fatal,1.0
55818,R22 Beta II,Fatal(2),1.0
55845,Edge 540-T,Non-Fatal,1.0
55846,560XL,Non-Fatal,2.0
55847,T18C,Fatal(2),1.0
55850,Saab 340B,Non-Fatal,2.0
55861,OMF-100-160,Non-Fatal,1.0
55870,Cozy Long Ez,Non-Fatal,1.0
55871,407,Incident,1.0
55877,Falcon 50,Incident,2.0
55882,K-600,Fatal(1),1.0
55883,J35,Fatal(3),1.0
55889,G35,Fatal(3),1.0
55892,55,Fatal(1),2.0
55901,AS 350 B3,Non-Fatal,1.0
55908,560XL,Incident,2.0
55911,Swift GC1B,Non-Fatal,1.0
55913,SA-26-AT,Fatal(1),2.0
55919,BK 117 B-2,Non-Fatal,2.0
55921,SA227-AT,Fatal(1),2.0
55923,737-3M8,Incident,2.0
55929,Titan Tornado,Fatal(1),1.0
55931,Cozy MK III,Non-Fatal,1.0
55932,310-H,Non-Fatal,2.0
55934,GZ-20A,Non-Fatal,2.0
55939,Pulsar I,Fatal(1),1.0
55940,BH-212,Incident,2.0
55950,Sorrell SNS-7,Non-Fatal,1.0
55958,Sky Arrow 650 TC,Fatal(1),1.0
55970,RV-7A,Fatal(1),1.0
55976,PA-39,Non-Fatal,1.0
55984,SHA Glasair TD,Fatal(2),1.0
55989,PA-46-350P,Incident,1.0
55994,BK117A3,Non-Fatal,2.0
55997,4MF 5,Non-Fatal,1.0
56003,PA46-500TP,Fatal(2),1.0
56006,MD-10-10F,Non-Fatal,3.0
56009,B407,Non-Fatal,1.0
56016,Skyboy-2,Fatal(1),1.0
56017,20E,Fatal(2),1.0
56030,A109A,Fatal(3),2.0
56031,24B,Fatal(2),2.0
56037,A36TC,Fatal(6),1.0
56042,NA-265-60,Incident,2.0
56048,AS 365 N-2,Non-Fatal,2.0
56049,S-17,Non-Fatal,1.0
56051,SA 102.5,Fatal(1),1.0
56052,20F,Fatal(1),1.0
56054,J3C-65,Fatal(4),1.0
56066,182G,Fatal(4),1.0
